CDREDE;DE;CODMUN;MUN;CATEG;COD_ESC;TIPOESC;CODVINC;NOMESC;ENDESC;NUMESC;BAIESC;EMAIL;FONE1;ZONA;ENSINO INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO MÉDIO;EJA – ANOS INICIAS;EJA – ANOS FINAIS;EJA – ENSINO MEDIO
10101;NORTE 1;100;SAO PAULO;1;279;8;NULL;GALDINO LOPES CHAGAS PROFESSOR;SABAO;1547;JARDIM MARISTELA;E000279A@EDUCACAO.SP.GOV.BR;39217090;1;0;12;0;990;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;346;8;NULL;MANOEL DA NOBREGA PADRE;ITABERABA;145;NOSSA SENHORA DO O;E000346A@EDUCACAO.SP.GOV.BR;39312564;1;0;0;0;650;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;565;8;NULL;NOSSA SENHORA DO RETIRO;RUA  DOUTOR  PEDRO MUSTRE PORTUGAL;265;VILA RENATO ZONA NORTE;E000565A@EDUCACAO.SP.GOV.BR;39748680;1;0;18;0;543;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;644;8;NULL;PIO XII;OTAVIO DOMINGUITO;50;PIQUERI;E000644A@EDUCACAO.SP.GOV.BR;39764189;1;0;0;0;308;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;36444;8;NULL;GENESIO DE ALMEIDA MOURA DOUTOR;DOMINGOS AREVALO;862;JARDIM DAMASCENO;E036444A@EDUCACAO.SP.GOV.BR;39212183;1;0;0;0;721;487;410;0;0;0
10101;NORTE 1;100;SAO PAULO;1;36456;8;NULL;MIGUEL OLIVA FEITOSA PROFESSOR;TARCON;479;JARDIM ADELFIORE;E036456A@EDUCACAO.SP.GOV.BR;39170773;1;0;0;0;0;399;430;0;0;0
10101;NORTE 1;100;SAO PAULO;1;46243;8;NULL;FLAMINIO FAVERO PROFESSOR;AVENIDA GENERAL PENHA BRASIL;3001;VILA NOVA CACHOEIRINHA;E046243A@EDUCACAO.SP.GOV.BR;38513064;1;0;0;0;433;479;610;0;0;0
10101;NORTE 1;100;SAO PAULO;1;924751;8;NULL;LUIZA SALETTE JUNCA DE ALMEIDA PROFESSORA;AVENIDA DEPUTADO CANTIDIO SAMPAIO;1701;VILA SOUZA;E924751A@EDUCACAO.SP.GOV.BR;39829400;1;0;0;0;0;778;0;0;0;1125
10101;NORTE 1;100;SAO PAULO;1;924763;8;NULL;REPUBLICA ARGENTINA;PHILONILIA GONCALVES DOS SANTOS;SN;PARQUE NACOES UNIDAS;E924763A@EDUCACAO.SP.GOV.BR;39282704;1;0;0;0;0;78;653;0;0;223
10102;CENTRO;100;SAO PAULO;1;383;8;NULL;ANTOINE DE SAINT EXUPERY;RUA ANTONIO RIBEIRO DE MORAIS;184;VILA CARBONE;E000383A@EDUCACAO.SP.GOV.BR;39362444;1;0;2;0;0;557;607;0;0;0
